- парфен ? да уж это не тех ли самых рогожиных ... - начал было с усиленною важностью чиновник . ||| “ 帕 尔 芬 ？ 这 不 就 是 那 一 家 罗 戈 任 … … ” 小 公 务 员 特 别 傲 慢 地 说 。
герасим поглядел на него , презрительно усмехнулся , опять ударил себя в грудь и захлопнул дверь . ||| 格 拉 西 姆 望 着 他 ， 轻 蔑 地 笑 了 笑 ， 又 拍 一 下 自 己 的 胸 膛 ， 便 砰 的 一 声 关 上 了 门 。
- оставьте его , гаврила андреич , - промолвил степан , - он сделает , коли обещал . ||| “ 让 他 去 吧 ， 加 夫 里 拉 • 安 德 里 耶 奇 ； ” 斯 捷 潘 说 ， “ 要 是 他 答 应 了 ， 他 就 会 做 的 。
а у женщин их целых три , с которых они никогда не слезают — разве когда спят . ||| 可 女 人 同 时 要 骑 三 匹 马 ， 除 了 睡 觉 ， 她 们 永 远 不 会 下 马 。 ”
она постояла , посмотрела с холодной улыбкой на себя в зеркало и , сделав небольшое движение головою сверху вниз , сошла в гостиную . ||| 她 站 了 一 会 儿 ， 苦 笑 着 照 了 照 镜 子 ， 自 上 而 下 地 稍 稍 活 动 了 一 下 脑 袋 ， 便 下 楼 到 客 厅 里 去 了 。
только однажды павел петрович пустился было в состязание с нигилистом по поводу модного в то время вопроса о правах остзейских дворян , но сам вдруг остановился , промолвив с холодною вежливостью : ||| 只 一 次 ， 在 谈 及 时 下 最 常 谈 的 波 罗 的 海 沿 岸 俄 籍 日 耳 曼 贵 族 问 题 时 他 和 虚 无 主 义 者 发 生 了 争 执 ， 但 他 也 是 及 时 制 止 了 纷 争 ， 只 冷 冷 地 、 有 礼 貌 地 说 了 句 ：
— слава богу-с . ||| “ 托 主 的 福 。 ”
— знаешь ли ты , о чем я думаю ? — промолвил он на конец , закидывая руки за голову . ||| “ 你 知 道 我 在 想 什 么 吗 ？ ” 他 把 手 操 在 脑 后 ， 打 破 沉 默 说 。
он поневоле вернулся в деревню и после довольно продолжительного бездействия занялся хозяйственными преобразованиями . ||| 只 得 返 回 乡 居 。 他 很 长 一 个 时 期 无 所 事 事 ， 百 无 聊 赖 之 余 ， 关 心 起 了 农 业 。
— наши герцогини так по-русски не говорят , — заметил аркадий . ||| “ 我 们 的 公 爵 小 姐 俄 语 不 会 说 得 她 那 么 好 ， ” 阿 尔 卡 季 叹 息 道 。
стоит взглянуть на него в русской церкви , когда , прислонясь в сторонке к стене , он задумывается и долго не шевелится , горько стиснув губы , потом вдруг опомнится и начнет почти незаметно креститься ... ||| 你 只 消 看 他 在 俄 国 侨 民 教 堂 里 ， 靠 边 倚 墙 ， 痛 苦 地 咬 着 牙 ， 长 时 间 默 然 不 动 ， 尔 后 突 然 从 沉 思 中 清 醒 过 来 ， 悄 悄 地 划 着 十 字 … … - - - - - - - - ① 法 语 ： 极 其 可 敬 的 。
— слава богу — лучше всего . ||| “ 能 有 上 帝 保 佑 ， 那 就 最 好 没 有 了 。
« но отвергать поэзию ? — подумал он опять , — не сочувствовать художеству , природе ? .. » ||| “ 可 是 ， 诗 歌 也 要 抛 弃 吗 ？ ” 他 又 想 ， “ 艺 术 、 大 自 然 … … 也 要 排 斥 吗 ？ ”
лицо молодого человека было , впрочем , приятное , тонкое и сухое , но бесцветное , а теперь даже досиня иззябшее . ||| 不 过 ， 年 轻 人 的 脸 是 讨 人 喜 欢 的 ， 清 瘦 而 秀 气 ， 但 是 没 有 血 色 ， 现 在 甚 至 冻 得 发 青 。
- и буду , и буду ходить . ||| “ 我 还 是 愿 意 做 ， 愿 意 做 。 ”
когда тоцкий так любезно обратился к нему за дружеским советом насчет одной из его дочерей , то тут же , самым благороднейшим образом , сделал полнейшие и откровенные признания . ||| 当 托 茨 墓 非 常 殷 切 友 好 地 与 将 军 商 讨 有 关 他 的 上 位 女 儿 的 婚 事 时 ， 就 立 即 以 最 高 尚 的 方 式 做 了 最 充 分 和 坦 率 的 表 白 。
я давно уже и воображать перестал . ||| 我 早 就 已 经 不 再 讲 了 ，
— а вот увидишь ... ||| “ 你 马 上 会 瞧 见 的 … … ”
— знаем , знаем , — торопливо проговорила бабушка , отмахиваясь от него , а войдя в комнату и ставя самовар , рассказывала : — теперь на́чисто разорился дедушко-то ; какие деньги были , все отдавал крестнику николаю в рост , а расписок , видно , не брал с него , — уж не знаю , как это у них сталось , только разорился , пропали деньги . ||| “ 得 啦 ， 得 啦 。 ” 外 祖 母 急 忙 说 ， 挥 手 赶 开 他 。 随 后 ， 走 进 屋 子 里 ， 一 面 烧 茶 炊 ， 一 面 说 ： “ 你 外 公 现 在 完 全 变 成 穷 光 蛋 了 。 他 那 点 钱 全 都 交 给 教 子 尼 古 拉 去 放 利 息 ， 大 概 连 字 据 也 没 向 他 要 ， 不 知 道 他 们 怎 么 弄 的 ， 可 是 钱 没 有 了 ， 变 成 穷 光 蛋 了 。
лицо у нее было досиня бледное , глаза погасли и закатились , точно у кликуши . ||| 她 的 脸 色 发 青 ， 眼 睛 失 去 光 彩 ， 象 疯 女 人 似 的 转 动 着 。
сколько потом встретил я подобных ему добрых , одиноких , отломившихся от жизни людей ! .. ||| 后 来 ， 我 还 遇 到 过 多 少 象 他 这 样 善 良 、 孤 独 而 愤 世 的 人 啊 ！
стоят по сторонам дороги старые , битые громом березы , простирая над головой моей мокрые сучья ; слева , под горой , над черной волгой , плывут , точно в бездонную пропасть уходя , редкие огоньки на мачтах последних пароходов и барж , бухают колеса по воде , гудят свистки . ||| 公 路 两 旁 ， 立 着 被 雪 打 坏 的 老 白 桦 树 ， 在 我 头 上 伸 出 了 湿 淋 淋 的 枝 条 。 向 左 边 山 崖 底 下 望 去 ， 黑 洞 洞 的 伏 尔 加 河 上 ， 浮 闪 着 末 班 轮 船 和 驳 船 上 的 几 盏 桅 灯 ， 好 象 正 向 无 底 的 深 渊 沉 下 去 。 这 些 船 的 蹼 轮 ， 在 水 里 啪 啪 地 响 着 ， 汽 笛 呜 呜 地 叫 着 。
вдруг что-то скребнуло в плечо , споткнулся , вздрогнув , о банную шайку , подставленную на полу под капель — теперь осталось сделать еще несколько неверных шагов , чтобы увидеть перед самым носом такую же шайку в медвежьих когтистых лапах и услышать недовольный голос : — явился , наконец ! ||| 突 然 他 被 放 在 地 上 冰 锥 底 下 的 澡 堂 木 盆 给 绊 了 一 下 — — 现 在 只 得 再 迈 出 几 步 踉 跄 的 步 子 ， 以 便 看 清 熊 掌 上 的 同 样 一 只 木 盆 ， 而 且 听 到 一 声 不 满 的 声 音 ： “ 终 于 出 现 了 ！ ”
— а-а , — беспомощно показал лизавин внутрь , на содержимое , но закончил столь же беспомощно : — пчхи ! ||| “ 啊 — — 啊 ， ” 利 扎 温 束 手 无 策 地 望 着 里 面 所 装 的 东 西 ， 但 同 样 束 手 无 策 地 结 束 ： “ 啊 嚏 ！ ”
хорошо , что ты не отвечаешь , не можешь или не хочешь . ||| 好 在 你 不 回 答 ， 不 能 或 是 不 想 。 ”
вот дело профессионалов , высоких , многознающих , несентиментальных . ||| 这 就 是 高 尚 博 学 、 不 多 愁 善 感 的 职 业 革 命 家 的 事 业 。 ”
птицы с веток смотрели на людей глазами покойников . ||| 一 群 小 鸟 从 枝 头 上 用 死 者 的 目 光 盯 着 这 些 人 。
крыльев у него нет . ||| 它 没 有 翅 翼 。
